,Review_Title,Reviews,Rating
0,AWESOME...IN LOVE WITH IT !,Really impressed with the fastest delivery of Amazon. I ordered it on yesterday at 2pm and they delivered me at 6pm on the same day.It is awesome.. really loved it..it doesn't fall from the ear and sound..calling quality.. Bluetooth connection every thing is great.Please go for it without any single thought.,5.0 
1,Enjoy while it lasts,This is the second time I am writing this review. Not sure why my earlier detailed review which was more like a ownership review was deleted by Amazon. Hope this review is published and not eventually deleted however this review would not be as detailed as the previous one. Purchased this product in Aug 2020 and since then had 3 replacements from Boat within a year. Each unit would last 3 to 4 months max depending upon the usage and always one or the other earpiece would die out. The left earpiece of the 3rd replacement died out 2 days back. Please note I have mostly used them during my morning jogging/running. Over all the sound quality is good and enjoy them as long as they last but the overall durability of the device is very very poor. Attaching the 3 earpiece chargers as a proof.,2.0 
2,Good,"1. Quite good look2. Better noise cancellation, good base.3. Quite lighter, fixes in the ear well4. Inspite having bluetooth 5.0, Doesn't connect to two Device at same time. I had bought it to use it with my honor smart watch along with my mobile but couldn't do so.5. No charging cable, No ear buds of different size, Nothing extraa given.Can't comment on battery backup. Seemed good.",4.0 
3,not great,"its a good set of ear buds but1. the quality of sound gets bad when connected with macbook2. due to absence of dual mic noise cancellation, it becomes very difficult to use it during a call as the other person hears lot of envt. noiseinability to use it during the call is the one big major disadvantage for this pair but other features are good like instant connection with mobile etc",1.0 
4,Best buds in the budget with Type C,"I have been researching about getting a nice TWS buds for my everyday use.My priorities were like this -1. Balanced Sound with a nice blend of Bass, Treble and Mids.(I'm an audiophile but was ready to compromise cuz budget :P)2. Type C Charging - I use a Oneplus 6T so it is much convenient to manage things with one charger.3. Decent battery backup.4. Shoudn't feel bulky in the ears.And then I got these buds, and here goes my feedback -1. First Impression - They look great, love the red and black color tone.2. Fits well in the ears without feeling bulky.3. Not super satisfied with the audio quality, felt it was too Bass heavy(Found a fix with Equaliser settings).4. There's no volume control option from the buds, but you can do it from your phone without much effort(Ain't it?).Fix to adjust bass if you're on a Oneplus Device -1. Fortunately Oneplus provides Audio Tuner to adjust EQ at OS level.2. Open the Audio Tuner and go to Sound Enhancement.3. Select Feat. JBL E1+4. Open Preset options5. Select Blues and Voila!! 🎯For other phones -I'm not sure about other devices as I haven't tested on them, but here are a couple of things I used to do on my previous phones to adjust sound settings. As most phones or music player apps provide equaliser settings, you can select presets like 'Vocal/Jazz/Blues/Pop' which tend to compress Bass and enhance Mids and Treble.Also, after reading a couple of reviews of other TWS buds, I considered changing the ear tips to smaller ones and surprisingly it boosted the experience. However, it mostly depends on the size of your ears so might not work for everyone.Do let me know if you need any further information about this, happy to help! 🙂Happy Listening! 🎶",5.0 
5,Some unwanted noise from the left ear bud.,I received the product with some defect. The left side of the airdops was making unwanted sound which is irritating after each and every small  input.,1.0 
6,Amazon deleting my review.,"Boat AirDopes, have by far been the most champion looking TWS that I have invested in. However, it makes me feel that the premium looks are simply to deceive the customers from other core issues that thus TWS has.1. Connectivity: The connectivity is very poor and there is a lag between the video and audio.2. Battery: The right earphones, just don't charge. So, I have been using just one TWS since about 2-3 months.3. Warranty: There is no warranty on the product, and team boat never ever replies. It's absolutely impossible to get in touch with them. They are almost invisible. The aftersale services have been the worst. Actually, non existent.4. Amazon: This is the 4th review that I am writing. Amazon has been consistently deleting my reviews.",1.0 
7,Poor quality product,Worst product plz don't buy it you will regret buying it for sure. My left ear bud not working just brought it previous month.,1.0 
8,Too much price for these not poor pair of Earbuds.,"Boat is an Indian Company but all the products of this company are Made in China so it is not making the products itself. They are just buying Chinese products and selling it by their name.I have extensively used these buds for a month while doing workout and watching movies and listening music and below is my detailed review of the Earbuds.Pros:1. Great Sound Quality2. Great Bass3. Great Battery Life4. Fast ChargingCons:1. It doesn't fit properly in ears. It is just not me, 3 more friends of mine are facing the same issue. It doesn't fit properly specially in the right ear. Also, your right ear starts paining after sometime if you push it or try to fit it properly by rotating it in your ear.2. So, if the right bud doesn't fit properly so obviously you don't feel good sound quality from your right ear bud. Sometimes I felt that their is some problem with the Right earbud sound quality but then I realised that it is because of the fitting issue.3. Earbuds slips out of your ear when you wear it while working out due to sweat. It gets slipped when it gets wet due to sweat. Even when the earbuds are fitted properly they will fall out when they get wet.4. The company says that as soon as you open the charging box of the buds both buds gets paired between each other automatically but sometimes both doesn't gets paired between each other and only left or the right one gets paired to the phone or the laptop. Then you have to wait for sometime for the other to get paired.5. The range of the Bluetooth is not that great. Sometimes even you are in the range or at the boundary level within the range one of the buds will stop working and you will hear sound from only one bud. Most of the times it is Right.6. Sometimes one of the earbud stops working without any reason and the battery status of both the buds are different which is very weird.7. My right Earbud stopped working after a month. So I have to find a Service Centre which are not everywhere and not very good.8. Last but certainly not the least, their after sales service is horrible. Their customer care doesn't respond to calls, emails, Twitter or anything. It is a pain to reach out to them. They behave like a roadside local shop.So all in all it is a good pair of earbuds but Rs.2500/- is too much for these earbuds. So I would not suggest to buy this pair of Earbuds at this price.You can buy Noise Shots or Noise Shots XO and those are much better and you will enjoy the experience with them.boAt is Horrible and ridiculous.",1.0 
9,Below average,"The sound quality is really really good.And the buds looked very beautiful and attractive.Specially if you love red colour.The green-blue flickering lights made it more attractive. Voice quality on calls is not good. You have to speak a little louder than normal which is not feasible at most times. And there is a lot of noise on and off calls. Because of noise during calls, i had to disconnect the call in-between and talk through my phone. This is not why bought this wireless earbud. And after using it for nearly an hour, there is pain in my ears.",2.0 
10,There is a PROBLEM with earbuds!! REPLACEMENT also has same.,"I received Boat Airdopes 441 from Amazon on Friday 19th June..But there's an issue. I hear a strange noise from left earbud every time I play something. Be it from YouTube or be it from a music app. Its 'hiss' kind of sound. It is only heard when I press play button and continues throughout the video/audio and when I stop it, the noise goes off. This particular noise is also heard when I get notification on phone. It is clearly noticed when there is silence in room. I googled and its called static noise something. I am worried now. Anyone else is experiencing this noise? How do I get rid of this sound? Its really annoying. Not finding solution on the internet. Please help me.I think I got a faulty piece. I will contact Boat customer care on Monday and return on Amazon. I want replacement with a goid, proper product.EDIT: I ordered replacement and received this morning. The new airdopes also have the 'hiss' noise. I think it is in all the airdopes. Dear boAt, you have made the amazing design for the Airdopes 441.  Also, the sound quality is best. But this noise has made me dislike the product. Sorry. Returning it.",2.0 
11,"Don't go with the rating, not worth a penny","Honest review after replacing the first assuming may be received a faulty product, the second was even worst. 1st the call quality was terrible absolutely no clear voice. No bass at all. So did a replacement the second had the same problem. Second one the left ear bud had stopped working. Did a reset still no use.",1.0 
12,defective left ear piece. You may be next victim of this.,defective left ear piece. Cracking sound on standby. Right side was ok. Very bad service from amazon. Left me with a loss of  500 rs after refund. I wanted a replacement but amzon denied the option as stock is limited. Never going to use amazon again.,1.0 
